"Показник","Територіальний розріз","Категорія розрізу","Розріз","Кількість працівників","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Конфіденційність","Примітки часового ряду","Примітки спостереження","2018","2019","2020","2021","2022","2023","2024"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Кількість зайнятих працівників 250 осіб і більше","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","8.1","5.4","6.2","7.5","6.7"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Рекламна діяльність і дослідження кон'юнктури ринку; інша професійна, наукова та технічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Явищ не було./Not observed.","","","2.1","","","",""
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Телекомунікації (електрозв'язок)","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Явищ не було./Not observed.","","","2.7","","0.3","",""
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","7.5","6.0","4.1","5.1","4.9"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво електричного устатковання","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","1.7","2.0","0.7","0.7","0.3"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Наукові дослідження та розробки","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Явищ не було./Not observed.","","","","","","0.0",""
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Ремонт комп'ютерів і обладнання зв'язку","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Явищ не було./Not observed.","","","4.0","","","",""
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Кількість зайнятих працівників від 10 до 49 осіб","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.3","1.6","1.3","1.7","1.5"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.7","1.6","0.5","1.1","1.1"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Кількість зайнятих працівників від 50 до 249 осіб","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","6.3","2.0","2.4","4.6","3.3"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво коксу та продуктів нафтоперероблення","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Явищ не було./Not observed.","","","4.2","5.9","3.1","",""
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво комп'ютерів, електронної та оптичної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.6","","1.2","0.5","0.5"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво харчових продуктів, напоїв і тютюнових виробів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","14.2","8.4","9.2","12.0","8.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.0","5.8","6.1","2.8","4.5"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти чи вебдодатки, які використовуються декількома підприємствами","Усього","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","4.4","","3.1","0.9","3.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Водопостачання; каналізація, поводження з відходами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.0","0.1","0.5","0.1","0.7"
